GroupName,AccountName,AccountType
GROUP POLICY CREATOR OWNERS@CYBERSPACEKITTENS.LOCAL,ADMINISTRATOR@CYBERSPACEKITTENS.LOCAL,user
GUESTS@CYBERSPACEKITTENS.LOCAL,GUEST@CYBERSPACEKITTENS.LOCAL,user
SYSTEM MANAGED ACCOUNTS GROUP@CYBERSPACEKITTENS.LOCAL,DEFAULTACCOUNT@CYBERSPACEKITTENS.LOCAL,user
DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,ELON.MUSKKAT@CYBERSPACEKITTENS.LOCAL,user
USERS@CYBERSPACEKITTENS.LOCAL,CYBERSPACEKITTENS.LOCAL,domain
PRE-WINDOWS 2000 COMPATIBLE ACCESS@CYBERSPACEKITTENS.LOCAL,CYBERSPACEKITTENS.LOCAL,domain
IIS_IUSRS@CYBERSPACEKITTENS.LOCAL,CYBERSPACEKITTENS.LOCAL,domain
DOMAIN CONTROLLERS@CYBERSPACEKITTENS.LOCAL,CSK-DC.CYBERSPACEKITTENS.LOCAL,computer
DENIED RODC PASSWORD REPLICATION GROUP@CYBERSPACEKITTENS.LOCAL,KRBTGT@CYBERSPACEKITTENS.LOCAL,user
DENIED RODC PASSWORD REPLICATION GROUP@CYBERSPACEKITTENS.LOCAL,DOMAIN CONTROLLERS@CYBERSPACEKITTENS.LOCAL,group
DENIED RODC PASSWORD REPLICATION GROUP@CYBERSPACEKITTENS.LOCAL,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group
DOMAIN USERS@CYBERSPACEKITTENS.LOCAL,DEFAULTACCOUNT@CYBERSPACEKITTENS.LOCAL,user
USERS@CYBERSPACEKITTENS.LOCAL,DOMAIN USERS@CYBERSPACEKITTENS.LOCAL,group
GUESTS@CYBERSPACEKITTENS.LOCAL,DOMAIN GUESTS@CYBERSPACEKITTENS.LOCAL,group
DENIED RODC PASSWORD REPLICATION GROUP@CYBERSPACEKITTENS.LOCAL,GROUP POLICY CREATOR OWNERS@CYBERSPACEKITTENS.LOCAL,group
DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,ADMINISTRATOR@CYBERSPACEKITTENS.LOCAL,user
ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,ADMINISTRATOR@CYBERSPACEKITTENS.LOCAL,user
SCHEMA ADMINS@CYBERSPACEKITTENS.LOCAL,ADMINISTRATOR@CYBERSPACEKITTENS.LOCAL,user
DOMAIN GUESTS@CYBERSPACEKITTENS.LOCAL,GUEST@CYBERSPACEKITTENS.LOCAL,user
DENIED RODC PASSWORD REPLICATION GROUP@CYBERSPACEKITTENS.LOCAL,READ-ONLY DOMAIN CONTROLLERS@CYBERSPACEKITTENS.LOCAL,group
USERS@CYBERSPACEKITTENS.LOCAL,ELON.MUSKKAT@CYBERSPACEKITTENS.LOCAL,user
DENIED RODC PASSWORD REPLICATION GROUP@CYBERSPACEKITTENS.LOCAL,SCHEMA ADMINS@CYBERSPACEKITTENS.LOCAL,group
DENIED RODC PASSWORD REPLICATION GROUP@CYBERSPACEKITTENS.LOCAL,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group
DENIED RODC PASSWORD REPLICATION GROUP@CYBERSPACEKITTENS.LOCAL,CERT PUBLISHERS@CYBERSPACEKITTENS.LOCAL,group
DOMAIN USERS@CYBERSPACEKITTENS.LOCAL,KRBTGT@CYBERSPACEKITTENS.LOCAL,user
ADMINISTRATORS@CYBERSPACEKITTENS.LOCAL,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group
ADMINISTRATORS@CYBERSPACEKITTENS.LOCAL,ADMINISTRATOR@CYBERSPACEKITTENS.LOCAL,user
DOMAIN USERS@CYBERSPACEKITTENS.LOCAL,ADMINISTRATOR@CYBERSPACEKITTENS.LOCAL,user
DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,KATE@CYBERSPACEKITTENS.LOCAL,user
DOMAIN USERS@CYBERSPACEKITTENS.LOCAL,KATE@CYBERSPACEKITTENS.LOCAL,user
DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,DADE@CYBERSPACEKITTENS.LOCAL,user
DOMAIN USERS@CYBERSPACEKITTENS.LOCAL,DADE@CYBERSPACEKITTENS.LOCAL,user
WINDOWS AUTHORIZATION ACCESS GROUP@CYBERSPACEKITTENS.LOCAL,CYBERSPACEKITTENS.LOCAL,domain
SPACE@CYBERSPACEKITTENS.LOCAL,NEIL.PAWSTRONG@CYBERSPACEKITTENS.LOCAL,user
DOMAIN USERS@CYBERSPACEKITTENS.LOCAL,NEIL.PAWSTRONG@CYBERSPACEKITTENS.LOCAL,user
